LSB,"(7,4)Hamming Code",PRDHHC,Paper
34.71156833867159,34.620572922839905,52.3516579606042,52.724783881329024
39.56530201405629,35.501224443627976,52.434334829705904,52.84714269005673
39.44948804241407,34.98093413879933,52.20611852153307,52.74377055481934
34.55592485080784,34.26516209059905,52.12524687691009,52.63717925118865
38.014665327626204,34.114587509233736,52.09862088882525,52.60602072188314
35.40038929500364,33.88699986658067,52.12307605570173,52.58400413042707
38.78467793813938,35.16474538622702,53.80804568226616,53.53979129548827
40.27116163798613,33.792280930626745,52.87957016202837,53.469686944523254
34.71757523345266,33.652619285566786,52.12828785069976,52.63522528014437
43.504836321891304,35.11453983488104,52.130678681929446,52.722291802980365
41.8358291607948,34.318579733742204,52.22185344457829,52.687304885037996
40.14767036332066,34.15476312502954,52.39303059777818,52.92475277574731
34.34559852706246,34.13492374464278,52.17899363518771,52.668316878123946
33.48308323899879,34.92547610276,52.09624763592785,52.616949429837085
41.337525744874945,35.537044362124384,52.119604997167166,52.63107600835751
38.02114211240061,36.9515386188861,54.54353885006547,53.35347886600465
35.42164157207142,34.174136661489655,54.07283485360579,53.28260939532579
37.90091171494656,34.00915772338598,52.12329308900024,52.6050506107898
37.387909091753045,34.42611793475108,52.25148302735238,52.68014380880274
37.12877186166511,34.06428862207716,52.11007386600181,52.67373355698354
31.975590585040713,34.3381756216798,52.19330681398118,52.65554061123883
34.79990214121238,34.90841694906019,52.43386854832055,52.863840910221995
38.705434127629175,38.83659398588381,52.28694682880783,52.747026605183656
41.58792061350751,36.896817713919454,52.300490326745425,52.671024373068924
36.27456955400918,34.343625806238606,52.65357836346161,53.305344402455965
37.350807434590244,34.44470583813946,54.066379467980575,53.188401088075416
35.55132451572548,34.579687458275245,52.155315549352565,52.65603131174429
34.87236831502475,34.275951375777424,52.15903410516782,52.730770710287246
37.87701502230435,34.891178227764655,52.16056620112592,52.627174429369404
37.12980966230998,34.16768542604584,52.10509999612725,52.6670867563712
34.49456990439187,36.758257604045205,52.202359448875406,52.70091875529778
36.96419073025076,37.36618198899852,52.27479368721754,52.72677857412745
33.738978252318304,34.111409766352146,52.1502896245753,52.70290251452789
34.93119812625667,33.858886099963854,52.975425197175625,52.950146358896106
37.193812324090636,34.50812461360069,52.115703369496956,52.616706270641075
33.02685083223133,34.06513366423251,52.2262961280193,52.704639047480704
38.687922826002136,34.17647956165963,52.10013181618987,52.65014656176661
35.973304337143276,34.15134120336348,52.18405290746133,52.66216975067299
38.31013479934987,34.60103808944342,52.109641129371425,52.63327218783239
33.18459456716491,34.236052642307996,52.174818677161134,52.704639047480704
35.0704061704362,34.004315444009016,52.886550519522046,53.532279367751386
34.09562077728587,34.085072029062545,52.14766971006651,52.64133436093654
35.39726091062558,34.17380256177259,52.17723526892287,52.669793484298665
34.909913291689364,34.10910169863739,52.97252118849569,53.24985360942246
40.763872932785205,34.34278993250174,52.16407016567001,52.64916654487901
37.653232312430745,35.09516108899926,52.29100544530915,52.68705775470994
38.10206767462137,34.545244380942464,52.23118833468198,52.77039136047542
41.39114010371763,34.41365113765106,52.130678681929446,52.64084531810971
